Name,Description,Type,Unit
wearTime-hourOfDay-13-avg,Accelerometer wear time 13:00 - 13:59 proportion average,numeric,proportion of time
wearTime-hourOfDay-14-avg,Accelerometer wear time 14:00 - 14:59 proportion average,numeric,proportion of time
wearTime-hourOfDay-15-avg,Accelerometer wear time 15:00 - 15:59 proportion average,numeric,proportion of time
wearTime-hourOfDay-16-avg,Accelerometer wear time 16:00 - 16:59 proportion average,numeric,proportion of time
wearTime-hourOfDay-17-avg,Accelerometer wear time 17:00 - 17:59 proportion average,numeric,proportion of time
wearTime-hourOfDay-18-avg,Accelerometer wear time 18:00 - 18:59 proportion average,numeric,proportion of time
wearTime-hourOfDay-19-avg,Accelerometer wear time 19:00 - 19:59 proportion average,numeric,proportion of time
wearTime-hourOfDay-20-avg,Accelerometer wear time 20:00 - 20:59 proportion average,numeric,proportion of time
wearTime-hourOfDay-21-avg,Accelerometer wear time 21:00 - 21:59 proportion average,numeric,proportion of time
wearTime-hourOfDay-22-avg,Accelerometer wear time 22:00 - 22:59 proportion average,numeric,proportion of time
wearTime-hourOfDay-23-avg,Accelerometer wear time 23:00 - 23:59 proportion average,numeric,proportion of time
cutPointMVPA-hourOfDay-0-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity 00:00 - 00:59 proportion average,numeric,proportion of time
cutPointMVPA-hourOfDay-1-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity 01:00 - 01:59 proportion average,numeric,proportion of time
cutPointMVPA-hourOfDay-2-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity 02:00 - 02:59 proportion average,numeric,proportion of time
cutPointMVPA-hourOfDay-3-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity 03:00 - 03:59 proportion average,numeric,proportion of time
cutPointMVPA-hourOfDay-4-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity 04:00 - 04:59 proportion average,numeric,proportion of time
cutPointMVPA-hourOfDay-5-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity 05:00 - 05:59 proportion average,numeric,proportion of time
cutPointMVPA-hourOfDay-6-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity 06:00 - 06:59 proportion average,numeric,proportion of time
cutPointMVPA-hourOfDay-7-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity 07:00 - 07:59 proportion average,numeric,proportion of time
cutPointMVPA-hourOfDay-8-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity 08:00 - 08:59 proportion average,numeric,proportion of time
cutPointMVPA-hourOfDay-9-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity 09:00 - 09:59 proportion average,numeric,proportion of time
cutPointMVPA-hourOfDay-10-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity 10:00 - 10:59 proportion average,numeric,proportion of time
cutPointMVPA-hourOfDay-11-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity 11:00 - 11:59 proportion average,numeric,proportion of time
cutPointMVPA-hourOfDay-12-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity 12:00 - 12:59 proportion average,numeric,proportion of time
cutPointMVPA-hourOfDay-13-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity 13:00 - 13:59 proportion average,numeric,proportion of time
cutPointMVPA-hourOfDay-14-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity 14:00 - 14:59 proportion average,numeric,proportion of time
cutPointMVPA-hourOfDay-15-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity 15:00 - 15:59 proportion average,numeric,proportion of time
cutPointMVPA-hourOfDay-16-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity 16:00 - 16:59 proportion average,numeric,proportion of time
cutPointMVPA-hourOfDay-17-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity 17:00 - 17:59 proportion average,numeric,proportion of time
cutPointMVPA-hourOfDay-18-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity 18:00 - 18:59 proportion average,numeric,proportion of time
cutPointMVPA-hourOfDay-19-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity 19:00 - 19:59 proportion average,numeric,proportion of time
cutPointMVPA-hourOfDay-20-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity 20:00 - 20:59 proportion average,numeric,proportion of time
cutPointMVPA-hourOfDay-21-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity 21:00 - 21:59 proportion average,numeric,proportion of time
cutPointMVPA-hourOfDay-22-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity 22:00 - 22:59 proportion average,numeric,proportion of time
cutPointMVPA-hourOfDay-23-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity 23:00 - 23:59 proportion average,numeric,proportion of time
cutPointVPA-hourOfDay-0-avg,Accelerometer-derived cut-point-based vigorous physical activity 00:00 - 00:59 proportion average,numeric,proportion of time
cutPointVPA-hourOfDay-1-avg,Accelerometer-derived cut-point-based vigorous physical activity 01:00 - 01:59 proportion average,numeric,proportion of time
cutPointVPA-hourOfDay-2-avg,Accelerometer-derived cut-point-based vigorous physical activity 02:00 - 02:59 proportion average,numeric,proportion of time
cutPointVPA-hourOfDay-3-avg,Accelerometer-derived cut-point-based vigorous physical activity 03:00 - 03:59 proportion average,numeric,proportion of time
cutPointVPA-hourOfDay-4-avg,Accelerometer-derived cut-point-based vigorous physical activity 04:00 - 04:59 proportion average,numeric,proportion of time
cutPointVPA-hourOfDay-5-avg,Accelerometer-derived cut-point-based vigorous physical activity 05:00 - 05:59 proportion average,numeric,proportion of time
cutPointVPA-hourOfDay-6-avg,Accelerometer-derived cut-point-based vigorous physical activity 06:00 - 06:59 proportion average,numeric,proportion of time
cutPointVPA-hourOfDay-7-avg,Accelerometer-derived cut-point-based vigorous physical activity 07:00 - 07:59 proportion average,numeric,proportion of time
cutPointVPA-hourOfDay-8-avg,Accelerometer-derived cut-point-based vigorous physical activity 08:00 - 08:59 proportion average,numeric,proportion of time
cutPointVPA-hourOfDay-9-avg,Accelerometer-derived cut-point-based vigorous physical activity 09:00 - 09:59 proportion average,numeric,proportion of time
cutPointVPA-hourOfDay-10-avg,Accelerometer-derived cut-point-based vigorous physical activity 10:00 - 10:59 proportion average,numeric,proportion of time
cutPointVPA-hourOfDay-11-avg,Accelerometer-derived cut-point-based vigorous physical activity 11:00 - 11:59 proportion average,numeric,proportion of time
cutPointVPA-hourOfDay-12-avg,Accelerometer-derived cut-point-based vigorous physical activity 12:00 - 12:59 proportion average,numeric,proportion of time
cutPointVPA-hourOfDay-13-avg,Accelerometer-derived cut-point-based vigorous physical activity 13:00 - 13:59 proportion average,numeric,proportion of time
cutPointVPA-hourOfDay-14-avg,Accelerometer-derived cut-point-based vigorous physical activity 14:00 - 14:59 proportion average,numeric,proportion of time
cutPointVPA-hourOfDay-15-avg,Accelerometer-derived cut-point-based vigorous physical activity 15:00 - 15:59 proportion average,numeric,proportion of time
cutPointVPA-hourOfDay-16-avg,Accelerometer-derived cut-point-based vigorous physical activity 16:00 - 16:59 proportion average,numeric,proportion of time
cutPointVPA-hourOfDay-17-avg,Accelerometer-derived cut-point-based vigorous physical activity 17:00 - 17:59 proportion average,numeric,proportion of time
cutPointVPA-hourOfDay-18-avg,Accelerometer-derived cut-point-based vigorous physical activity 18:00 - 18:59 proportion average,numeric,proportion of time
cutPointVPA-hourOfDay-19-avg,Accelerometer-derived cut-point-based vigorous physical activity 19:00 - 19:59 proportion average,numeric,proportion of time
cutPointVPA-hourOfDay-20-avg,Accelerometer-derived cut-point-based vigorous physical activity 20:00 - 20:59 proportion average,numeric,proportion of time
cutPointVPA-hourOfDay-21-avg,Accelerometer-derived cut-point-based vigorous physical activity 21:00 - 21:59 proportion average,numeric,proportion of time
cutPointVPA-hourOfDay-22-avg,Accelerometer-derived cut-point-based vigorous physical activity 22:00 - 22:59 proportion average,numeric,proportion of time
cutPointVPA-hourOfDay-23-avg,Accelerometer-derived cut-point-based vigorous physical activity 23:00 - 23:59 proportion average,numeric,proportion of time
acc-weekday-avg,Acceleration weekday average,numeric,milligravity
acc-weekend-avg,Acceleration weekend average,numeric,milligravity
wearTime-weekday-avg,Accelerometer wear time weekday proportion average,numeric,proportion of time
